alfa_skill,status,severity,referenced_by_count,referenced_by,disposition,beta_home,rationale
ab-testing,dod-complete,P2,3,agents/ab-testing-specialist.md;commands/ab-testing.md;prompts/business/7-ab-testing.md,router-fold,product-analytics#ab-testing,playbook in skills/product-analytics/references/ab-testing.md
accessibility-audit,dod-complete,P2,0,,router-fold,accessibility#audit,playbook in skills/accessibility/references/audit.md
accessibility-design,dod-complete,P2,2,agents/a11y-implementer.md;agents/accessibility-designer.md,router-fold,accessibility#design,playbook in skills/accessibility/references/design.md
accessibility-testing,dod-complete,P2,3,agents/a11y-implementer.md;agents/accessibility-auditor.md;agents/quality-guardian.md,router-fold,accessibility#testing,playbook in skills/accessibility/references/testing.md
accessibility-writing,dod-complete,P1,3,agents/accessibility-writing-specialist.md;commands/accessibility-writing.md;prompts/content/16-accessibility-writing.md,router-fold,accessibility#writing,playbook in skills/accessibility/references/writing.md
acta-formal,dod-complete,P1,0,,router-fold,carrera#acta-formal,playbook in skills/carrera/references/acta-formal.md
adaptive-investigation-method,dod-complete,P1,0,,core,adaptive-investigation-method,standalone skill in beta
admin-dashboards,dod-complete,P1,1,agents/dashboard-builder.md,router-fold,web-frontend#admin-dashboards,playbook in skills/web-frontend/references/admin-dashboards.md
agent-constitution-creator,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
agent-creator,dod-complete,P1,0,,router-fold,skill-foundry#agent-creator,playbook in skills/skill-foundry/references/agent-creator.md
agentic-loop-engineering,dod-complete,P1,0,,core,agentic-loop-engineering,standalone skill in beta
ai-architecture-audit,dod-complete,P1,0,,router-fold,ai-architecture#audit,playbook in skills/ai-architecture/references/audit.md
ai-architecture-implementation,dod-complete,P1,0,,router-fold,ai-architecture#implementation,playbook in skills/ai-architecture/references/implementation.md
ai-assisted-testing,dod-complete,P1,3,agents/ai-assisted-testing-specialist.md;commands/ai-assisted-testing.md;prompts/ai/7-ai-assisted-testing.md,router-fold,ai-quality#ai-assisted-testing,playbook in skills/ai-quality/references/ai-assisted-testing.md
ai-code-review,dod-complete,P1,3,agents/ai-code-review-specialist.md;commands/ai-code-review.md;prompts/ai/8-ai-code-review.md,router-fold,ai-quality#ai-code-review,playbook in skills/ai-quality/references/ai-code-review.md
ai-conops,dod-complete,P1,0,,router-fold,ai-architecture#ai-conops,playbook in skills/ai-architecture/references/ai-conops.md
ai-content-detection,dod-complete,P1,3,agents/ai-content-detection-specialist.md;commands/ai-content-detection.md;prompts/ai/4-ai-content-detection.md,router-fold,ai-quality#ai-content-detection,playbook in skills/ai-quality/references/ai-content-detection.md
ai-design-patterns,dod-complete,P1,0,,router-fold,ai-architecture#ai-design-patterns,playbook in skills/ai-architecture/references/ai-design-patterns.md
ai-documentation,dod-complete,P1,3,agents/ai-documentation-specialist.md;commands/ai-documentation.md;prompts/ai/9-ai-documentation.md,router-fold,ai-quality#ai-documentation,playbook in skills/ai-quality/references/ai-documentation.md
ai-pipeline-architecture,dod-complete,P1,0,,router-fold,ai-architecture#ai-pipeline-architecture,playbook in skills/ai-architecture/references/ai-pipeline-architecture.md
ai-safety,dod-complete,P1,3,agents/ai-safety-specialist.md;commands/ai-safety.md;prompts/ai/11-ai-safety.md,router-fold,ai-quality#ai-safety,playbook in skills/ai-quality/references/ai-safety.md
ai-software-architecture,dod-complete,P1,0,,router-fold,ai-architecture#ai-software-architecture,playbook in skills/ai-architecture/references/ai-software-architecture.md
ai-testing-strategy,dod-complete,P1,0,,router-fold,ai-quality#ai-testing-strategy,playbook in skills/ai-quality/references/ai-testing-strategy.md
ai-workflow-automation,dod-complete,P1,3,agents/ai-workflow-automation-specialist.md;commands/ai-workflow-automation.md;prompts/ai/15-ai-workflow-automation.md,router-fold,ai-quality#ai-workflow-automation,playbook in skills/ai-quality/references/ai-workflow-automation.md
alerting-strategy,dod-complete,P1,3,agents/alerting-strategy-specialist.md;commands/alerting-strategy.md;prompts/devops/3-alerting-strategy.md,router-fold,observability#alerting-strategy,playbook in skills/observability/references/alerting-strategy.md
alfa-repo-maintenance-orchestrator,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
analytics-engineering,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
analytics-events,dod-complete,P1,3,agents/analytics-events-specialist.md;commands/analytics-events.md;prompts/analytics/7-analytics-events.md,router-fold,product-analytics#analytics-events,playbook in skills/product-analytics/references/analytics-events.md
analytics-implementation,dod-complete,P1,0,,router-fold,google-workspace#analytics-implementation,playbook in skills/google-workspace/references/analytics-implementation.md
angular-development,pending,,1,agents/angular-specialist.md,router-fold,web-frontend#angular-development,playbook in skills/web-frontend/references/angular-development.md
angular-module-builder,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
animation-motion,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
animation-principles,pending,,3,agents/animation-principles-specialist.md;commands/animation-principles.md;prompts/ux/4-animation-principles.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
api-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
api-design,pending,,2,agents/api-designer.md;agents/solutions-architect.md,router-fold,architecture#api-design,playbook in skills/architecture/references/api-design.md
api-designer,pending,,1,agents/api-designer.md,alias,architecture#api-design,duplicate of api-design
api-documentation,pending,,1,prompts/quality/95-api-documentation.md,router-fold,docs-writing#api-documentation,playbook in skills/docs-writing/references/api-documentation.md
api-security,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
architecture-tobe,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
asis-analysis,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
assembly-skill,dod-complete,P1,0,,router-fold,skill-foundry#assembly-skill,playbook in skills/skill-foundry/references/assembly-skill.md
assumption-log,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
audit-content-quality,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
audit-security,dod-complete,P1,10,commands/audit-deps.md;commands/audit-security.md;commands/create-auth.md;commands/create-payment.md;commands/create-upload.md;commands/design-auth.md;commands/review.md;commands/risks.md;commands/setup-ssl.md;prompts/quality/75-audit-security.md,router-fold,security#audit-security,playbook in skills/security/references/audit-security.md
audit-trail-design,pending,,3,agents/audit-trail-design-specialist.md;commands/audit-trail-design.md;prompts/enterprise/2-audit-trail-design.md,router-fold,data-governance#audit-trail-design,playbook in skills/data-governance/references/audit-trail-design.md
auth-architecture,pending,,3,agents/auth-architect.md;agents/firebase-auth-expert.md;agents/security-architect.md,router-fold,security#auth-architecture,playbook in skills/security/references/auth-architecture.md
